redshift=.35
Id  Ra  Dec  X  Y  z_spec  zq   
s7  171.7477958  42.469669  406.  1271.  0.346  4
s11  171.76111  42.45561  580.  888.8  0.348  1
34  171.78985  42.50303  1318.6  1937.9  0.358  2
4/5  171.8011792  42.473301  1382.  1178.  0.353  4
35  171.80542  42.50769  1618.8  1996.7  0.348  1
s28  171.80700  42.51090  1660.0  2069.2  0.374  1
s32  171.8070  42.47290  1489.  1146.  0.348  1
s40  171.8190  42.47810  1721.  1232.  0.348  1
s42  171.8200  42.47730  1736.  1209.  0.338  1
6  171.8250  42.44670  1682.6  450.6  0.3685  1
17  171.82772  42.46939  1836.1  990.50  0.354  1
71/72  171.8308083  42.497486  2022.5  1659.  0.346  3
32  171.8330  42.50500  2098.2  1836.6  0.351  1
181/182  171.8352417  42.466434  1955.  892.  0.345  4
70/71  171.8443833  42.519110  2369.  2136.  0.344  4
29  171.84700  42.49810  2322.8  1617.  0.348  1
28  171.85200  42.49690  2406.7  1572.3  0.347  1
23/24  171.8605041  42.449451  2327.  393.  0.347  4



