#zrange=.1915-.5085=.350+-.1585
ID  RA  DEC  g_SDSS  i_SDSS  z_spec  quality
2  11:26:46.15  42:25:52.10  19.07  17.51  0.3540  4
8  11:26:58.08  42:26:29.02  21.37  21.01  0.4700  4
9  11:26:58.74  42:26:48.27  21.72  19.79  0.3495  4
10  11:26:59.94  42:27:03.39  21.57  19.81  0.3870  4
11  11:27:01.11  42:27:08.79  24.94  22.07  0.4100  4
13  11:26:58.90  42:28:12.49  23.25  20.58  0.4000  4
16  11:27:07.16  42:27:58.53  21.88  19.98  0.2745  4
17  11:27:08.72  42:28:09.01  21.91  19.81  0.3430  4
18  11:27:10.63  42:28:18.76  22.13  19.75  0.3475  4
20  11:27:13.79  42:28:16.64  21.89  19.06  0.3495  4
23  11:27:16.69  42:28:38.27  19.66  17.23  0.3505  4
24  11:27:17.69  42:28:47.45  25.15  22.11  0.3550  4
25  11:27:18.10  42:29:12.26  21.98  19.87  0.3530  4
29  11:27:24.56  42:29:49.09  23.64  20.94  0.3460  4
35  11:27:28.34  42:30:04.65  21.75  19.99  0.3435  4
40  11:27:37.69  42:30:02.72  21.64  19.17  0.3475  4
41  11:27:37.21  42:30:29.55  21.63  20.16  0.3370  4
43  11:27:39.73  42:31:02.80  19.94  19.95  0.3480  4
45  11:27:45.23  42:31:01.41  22.36  20.37  0.3450  4
46  11:27:47.59  42:31:09.91  23.16  21.44  0.3460  4
47  11:27:54.17  42:31:03.62  22.84  21.59  0.3470  4
48  11:27:35.48  42:35:17.89  22.31  21.26  0.3100  4
49  11:27:53.09  42:32:07.92  23.75  20.41  0.3495  4
51  11:27:57.55  42:32:47.28  21.76  19.65  0.4500  4
55  11:27:41.81  42:15:38.47  22.59  21.20  0.4650  4
67  11:27:48.34  42:21:14.42  22.68  21.24  0.3920  4
68  11:27:53.85  42:20:20.65  21.54  20.40  0.3605  4
70  11:27:52.80  42:21:32.79  15.37  14.81  0.3470  4
71  11:28:00.69  42:20:45.89  22.28  21.32  0.2070  4
73  11:27:49.98  42:23:58.05  22.17  21.76  0.3815  4
74  11:28:05.79  42:21:33.00  22.23  19.79  0.4120  4
78  11:28:09.92  42:22:36.72  23.27  20.93  0.4140  4
80  11:28:12.63  42:23:25.00  22.45  21.78  0.4640  4
82  11:28:16.75  42:23:20.36  23.71  20.54  0.4750  4
84  11:28:21.01  42:23:20.79  23.58  20.67  0.4720  4
86  11:28:27.00  42:22:51.84  23.63  21.31  0.4995  4
87  11:28:21.80  42:24:25.31  21.22  21.24  0.4145  4
88  11:28:12.03  42:26:46.80  23.40  20.76  0.4640  4
89  11:28:20.71  42:25:18.67  21.88  20.84  0.4115  4
91  11:28:27.97  42:25:14.95  22.66  21.07  0.2080  4
93  11:28:29.15  42:26:14.58  21.98  21.55  0.1940  4
