#combine G165_cm_Frye2019a.txt andG165_cm_Cass2020_bino.txt
#redshift=.35
Id  Ra  Dec  X  Y  z_spec  zq   
s7  171.7477958  42.469669  406.  1271.  0.346  4
s11  171.76111  42.45561  580.  888.8  0.348  1
34  171.78985  42.50303  1318.6  1937.9  0.358  2
4/5  171.8011792  42.473301  1382.  1178.  0.353  4
35  171.80542  42.50769  1618.8  1996.7  0.348  1
s28  171.80700  42.51090  1660.0  2069.2  0.374  1
s32  171.8070  42.47290  1489.  1146.  0.348  1
s40  171.8190  42.47810  1721.  1232.  0.348  1
s42  171.8200  42.47730  1736.  1209.  0.338  1
6  171.8250  42.44670  1682.6  450.6  0.3685  1
17  171.82772  42.46939  1836.1  990.50  0.354  1
71/72  171.8308083  42.497486  2022.5  1659.  0.346  3
32  171.8330  42.50500  2098.2  1836.6  0.351  1
181/182  171.8352417  42.466434  1955.  892.  0.345  4
70/71  171.8443833  42.519110  2369.  2136.  0.344  4
29  171.84700  42.49810  2322.8  1617.  0.348  1
28  171.85200  42.49690  2406.7  1572.3  0.347  1
23/24  171.8605041  42.449451  2327.  393.  0.347  4
2  171.69229  42.43114  19.07  17.51  0.3540  4
8  171.74200  42.44139  21.37  21.01  0.4700  4
9  171.74475  42.44674  21.72  19.79  0.3495  4
10  171.74975  42.45094  21.57  19.81  0.3870  4
11  171.75463  42.45244  24.94  22.07  0.4100  4
13  171.74542  42.47014  23.25  20.58  0.4000  4
16  171.77983  42.46626  21.88  19.98  0.2745  4
17  171.78633  42.46917  21.91  19.81  0.3430  4
18  171.79429  42.47188  22.13  19.75  0.3475  4
20  171.80746  42.47129  21.89  19.06  0.3495  4
23  171.81954  42.47730  19.66  17.23  0.3505  4
24  171.82371  42.47985  25.15  22.11  0.3550  4
25  171.82542  42.48674  21.98  19.87  0.3530  4
29  171.85233  42.49697  23.64  20.94  0.3460  4
35  171.86808  42.50129  21.75  19.99  0.3435  4
40  171.90704  42.50076  21.64  19.17  0.3475  4
41  171.90504  42.50821  21.63  20.16  0.3370  4
43  171.91554  42.51744  19.94  19.95  0.3480  4
45  171.93846  42.51706  22.36  20.37  0.3450  4
46  171.94829  42.51942  23.16  21.44  0.3460  4
47  171.97571  42.51767  22.84  21.59  0.3470  4
48  171.89783  42.58830  22.31  21.26  0.3100  4
49  171.97121  42.53553  23.75  20.41  0.3495  4
51  171.98979  42.54647  21.76  19.65  0.4500  4
55  171.92421  42.26069  22.59  21.20  0.4650  4
67  171.95142  42.35401  22.68  21.24  0.3920  4
68  171.97438  42.33907  21.54  20.40  0.3605  4
70  171.97000  42.35911  15.37  14.81  0.3470  4
71  172.00288  42.34608  22.28  21.32  0.2070  4
73  171.95825  42.39946  22.17  21.76  0.3815  4
74  172.02413  42.35917  22.23  19.79  0.4120  4
78  172.04133  42.37687  23.27  20.93  0.4140  4
80  172.05263  42.39028  22.45  21.78  0.4640  4
82  172.06979  42.38899  23.71  20.54  0.4750  4
84  172.08754  42.38911  23.58  20.67  0.4720  4
86  172.11250  42.38107  23.63  21.31  0.4995  4
87  172.09083  42.40703  21.22  21.24  0.4145  4
88  172.05013  42.44633  23.40  20.76  0.4640  4
89  172.08629  42.42185  21.88  20.84  0.4115  4
91  172.11654  42.42082  22.66  21.07  0.2080  4
93  172.12146  42.43738  21.98  21.55  0.1940  4
