#combine G165_cm_Frye2019a.txt andG165_cm_Cass2020_bino.txt
#redshift=.35
Id  Ra  Dec  X  Y  z_spec  zq   
s7  171.7477958  42.469669  406.  1271.  0.346  4
s11  171.76111  42.45561  580.  888.8  0.348  1
4/5  171.8011792  42.473301  1382.  1178.  0.353  4
35  171.80542  42.50769  1618.8  1996.7  0.348  1
s32  171.8070  42.47290  1489.  1146.  0.348  1
s40  171.8190  42.47810  1721.  1232.  0.348  1
17  171.82772  42.46939  1836.1  990.50  0.354  1
71/72  171.8308083  42.497486  2022.5  1659.  0.346  3
32  171.8330  42.50500  2098.2  1836.6  0.351  1
181/182  171.8352417  42.466434  1955.  892.  0.345  4
70/71  171.8443833  42.519110  2369.  2136.  0.344  4
29  171.84700  42.49810  2322.8  1617.  0.348  1
28  171.85200  42.49690  2406.7  1572.3  0.347  1
23/24  171.8605041  42.449451  2327.  393.  0.347  4
2  171.69229  42.43114  19.07  17.51  0.3540  4
9  171.74475  42.44674  21.72  19.79  0.3495  4
17  171.78633  42.46917  21.91  19.81  0.3430  4
18  171.79429  42.47188  22.13  19.75  0.3475  4
20  171.80746  42.47129  21.89  19.06  0.3495  4
23  171.81954  42.47730  19.66  17.23  0.3505  4
24  171.82371  42.47985  25.15  22.11  0.3550  4
25  171.82542  42.48674  21.98  19.87  0.3530  4
29  171.85233  42.49697  23.64  20.94  0.3460  4
35  171.86808  42.50129  21.75  19.99  0.3435  4
40  171.90704  42.50076  21.64  19.17  0.3475  4
43  171.91554  42.51744  19.94  19.95  0.3480  4
45  171.93846  42.51706  22.36  20.37  0.3450  4
46  171.94829  42.51942  23.16  21.44  0.3460  4
47  171.97571  42.51767  22.84  21.59  0.3470  4
49  171.97121  42.53553  23.75  20.41  0.3495  4
70  171.97000  42.35911  15.37  14.81  0.3470  4
